sep=,
Size,Average operations
10,81
15,196
20,361
25,576
30,841
35,1156
40,1521
45,1936
50,2401
55,2916
60,3481
65,4096
70,4761
75,5476
80,6241
85,7056
90,7921
95,8836
100,9801
105,10816
110,11881
115,12996
120,14161
125,15376
130,16641
135,17956
140,19321
145,20736
150,22201
155,23716
160,25281
165,26896
170,28561
175,30276
180,32041
185,33856
190,35721
195,37636
200,39601
205,41616
210,43681
215,45796
220,47961
225,50176
230,52441
235,54756
240,57121
245,59536
250,62001
255,64516
260,67081
265,69696
270,72361
275,75076
280,77841
285,80656
290,83521
295,86436
300,89401
305,92416
310,95481
315,98596
320,1.0176e+05
325,1.0498e+05
330,1.0824e+05
335,1.1156e+05
340,1.1492e+05
345,1.1834e+05
350,1.218e+05
355,1.2532e+05
360,1.2888e+05
365,1.325e+05
370,1.3616e+05
375,1.3988e+05
380,1.4364e+05
385,1.4746e+05
390,1.5132e+05
395,1.5524e+05
400,1.592e+05
405,1.6322e+05
410,1.6728e+05
415,1.714e+05
420,1.7556e+05
425,1.7978e+05
430,1.8404e+05
435,1.8836e+05
440,1.9272e+05
445,1.9714e+05
450,2.016e+05
455,2.0612e+05
460,2.1068e+05
465,2.153e+05
470,2.1996e+05
475,2.2468e+05
480,2.2944e+05
485,2.3426e+05
490,2.3912e+05
495,2.4404e+05
500,2.49e+05
505,2.5402e+05
510,2.5908e+05
515,2.642e+05
520,2.6936e+05
525,2.7458e+05
530,2.7984e+05
535,2.8516e+05
540,2.9052e+05
545,2.9594e+05
550,3.014e+05
555,3.0692e+05
560,3.1248e+05
565,3.181e+05
570,3.2376e+05
575,3.2948e+05
580,3.3524e+05
585,3.4106e+05
590,3.4692e+05
595,3.5284e+05
600,3.588e+05
605,3.6482e+05
610,3.7088e+05
615,3.77e+05
620,3.8316e+05
625,3.8938e+05
630,3.9564e+05
635,4.0196e+05
640,4.0832e+05
645,4.1474e+05
650,4.212e+05
655,4.2772e+05
660,4.3428e+05
665,4.409e+05
670,4.4756e+05
675,4.5428e+05
680,4.6104e+05
685,4.6786e+05
690,4.7472e+05
695,4.8164e+05
700,4.886e+05
705,4.9562e+05
710,5.0268e+05
715,5.098e+05
720,5.1696e+05
725,5.2418e+05
730,5.3144e+05
735,5.3876e+05
740,5.4612e+05
745,5.5354e+05
750,5.61e+05
755,5.6852e+05
760,5.7608e+05
765,5.837e+05
770,5.9136e+05
775,5.9908e+05
780,6.0684e+05
785,6.1466e+05
790,6.2252e+05
795,6.3044e+05
800,6.384e+05
805,6.4642e+05
810,6.5448e+05
815,6.626e+05
820,6.7076e+05
825,6.7898e+05
830,6.8724e+05
835,6.9556e+05
840,7.0392e+05
845,7.1234e+05
850,7.208e+05
855,7.2932e+05
860,7.3788e+05
865,7.465e+05
870,7.5516e+05
875,7.6388e+05
880,7.7264e+05
885,7.8146e+05
890,7.9032e+05
895,7.9924e+05
900,8.082e+05
905,8.1722e+05
910,8.2628e+05
915,8.354e+05
920,8.4456e+05
925,8.5378e+05
930,8.6304e+05
935,8.7236e+05
940,8.8172e+05
945,8.9114e+05
950,9.006e+05
955,9.1012e+05
960,9.1968e+05
965,9.293e+05
970,9.3896e+05
975,9.4868e+05
980,9.5844e+05
985,9.6826e+05
990,9.7812e+05
995,9.8804e+05
1000,9.98e+05
