Size;Bubble Sort 1;Bubble Sort 2
10;81;45
15;196;105
20;361;190
25;576;300
30;841;435
35;1156;595
40;1521;780
45;1936;990
50;2401;1225
55;2916;1485
60;3481;1770
65;4096;2080
70;4761;2415
75;5476;2775
80;6241;3160
85;7056;3570
90;7921;4005
95;8836;4465
100;9801;4950
105;10816;5460
110;11881;5995
115;12996;6555
120;14161;7140
125;15376;7750
130;16641;8385
135;17956;9045
140;19321;9730
145;20736;10440
150;22201;11175
155;23716;11935
160;25281;12720
165;26896;13530
170;28561;14365
175;30276;15225
180;32041;16110
185;33856;17020
190;35721;17955
195;37636;18915
200;39601;19900
205;41616;20910
210;43681;21945
215;45796;23005
220;47961;24090
225;50176;25200
230;52441;26335
235;54756;27495
240;57121;28680
245;59536;29890
250;62001;31125
255;64516;32385
260;67081;33670
265;69696;34980
270;72361;36315
275;75076;37675
280;77841;39060
285;80656;40470
290;83521;41905
295;86436;43365
300;89401;44850
305;92416;46360
310;95481;47895
315;98596;49455
320;1.02E+05;51040
325;1.05E+05;52650
330;1.08E+05;54285
335;1.12E+05;55945
340;1.15E+05;57630
345;1.18E+05;59340
350;1.22E+05;61075
355;1.25E+05;62835
360;1.29E+05;64620
365;1.33E+05;66430
370;1.36E+05;68265
375;1.40E+05;70125
380;1.44E+05;72010
385;1.47E+05;73920
390;1.51E+05;75855
395;1.55E+05;77815
400;1.59E+05;79800
405;1.63E+05;81810
410;1.67E+05;83845
415;1.71E+05;85905
420;1.76E+05;87990
425;1.80E+05;90100
430;1.84E+05;92235
435;1.88E+05;94395
440;1.93E+05;96580
445;1.97E+05;98790
450;2.02E+05;1.01E+05
455;2.06E+05;1.03E+05
460;2.11E+05;1.06E+05
465;2.15E+05;1.08E+05
470;2.20E+05;1.10E+05
475;2.25E+05;1.13E+05
480;2.29E+05;1.15E+05
485;2.34E+05;1.17E+05
490;2.39E+05;1.20E+05
495;2.44E+05;1.22E+05
500;2.49E+05;1.25E+05
505;2.54E+05;1.27E+05
510;2.59E+05;1.30E+05
515;2.64E+05;1.32E+05
520;2.69E+05;1.35E+05
525;2.75E+05;1.38E+05
530;2.80E+05;1.40E+05
535;2.85E+05;1.43E+05
540;2.91E+05;1.46E+05
545;2.96E+05;1.48E+05
550;3.01E+05;1.51E+05
555;3.07E+05;1.54E+05
560;3.12E+05;1.57E+05
565;3.18E+05;1.59E+05
570;3.24E+05;1.62E+05
575;3.29E+05;1.65E+05
580;3.35E+05;1.68E+05
585;3.41E+05;1.71E+05
590;3.47E+05;1.74E+05
595;3.53E+05;1.77E+05
600;3.59E+05;1.80E+05
605;3.65E+05;1.83E+05
610;3.71E+05;1.86E+05
615;3.77E+05;1.89E+05
620;3.83E+05;1.92E+05
625;3.89E+05;1.95E+05
630;3.96E+05;1.98E+05
635;4.02E+05;2.01E+05
640;4.08E+05;2.04E+05
645;4.15E+05;2.08E+05
650;4.21E+05;2.11E+05
655;4.28E+05;2.14E+05
660;4.34E+05;2.17E+05
665;4.41E+05;2.21E+05
670;4.48E+05;2.24E+05
675;4.54E+05;2.27E+05
680;4.61E+05;2.31E+05
685;4.68E+05;2.34E+05
690;4.75E+05;2.38E+05
695;4.82E+05;2.41E+05
700;4.89E+05;2.45E+05
705;4.96E+05;2.48E+05
710;5.03E+05;2.52E+05
715;5.10E+05;2.55E+05
720;5.17E+05;2.59E+05
725;5.24E+05;2.62E+05
730;5.31E+05;2.66E+05
735;5.39E+05;2.70E+05
740;5.46E+05;2.73E+05
745;5.54E+05;2.77E+05
750;5.61E+05;2.81E+05
755;5.69E+05;2.85E+05
760;5.76E+05;2.88E+05
765;5.84E+05;2.92E+05
770;5.91E+05;2.96E+05
775;5.99E+05;3.00E+05
780;6.07E+05;3.04E+05
785;6.15E+05;3.08E+05
790;6.23E+05;3.12E+05
795;6.30E+05;3.16E+05
800;6.38E+05;3.20E+05
805;6.46E+05;3.24E+05
810;6.54E+05;3.28E+05
815;6.63E+05;3.32E+05
820;6.71E+05;3.36E+05
825;6.79E+05;3.40E+05
830;6.87E+05;3.44E+05
835;6.96E+05;3.48E+05
840;7.04E+05;3.52E+05
845;7.12E+05;3.57E+05
850;7.21E+05;3.61E+05
855;7.29E+05;3.65E+05
860;7.38E+05;3.69E+05
865;7.47E+05;3.74E+05
870;7.55E+05;3.78E+05
875;7.64E+05;3.82E+05
880;7.73E+05;3.87E+05
885;7.81E+05;3.91E+05
890;7.90E+05;3.96E+05
895;7.99E+05;4.00E+05
900;8.08E+05;4.05E+05
905;8.17E+05;4.09E+05
910;8.26E+05;4.14E+05
915;8.35E+05;4.18E+05
920;8.45E+05;4.23E+05
925;8.54E+05;4.27E+05
930;8.63E+05;4.32E+05
935;8.72E+05;4.37E+05
940;8.82E+05;4.41E+05
945;8.91E+05;4.46E+05
950;9.01E+05;4.51E+05
955;9.10E+05;4.56E+05
960;9.20E+05;4.60E+05
965;9.29E+05;4.65E+05
970;9.39E+05;4.70E+05
975;9.49E+05;4.75E+05
980;9.58E+05;4.80E+05
985;9.68E+05;4.85E+05
990;9.78E+05;4.90E+05
995;9.88E+05;4.95E+05
1000;9.98E+05;5.00E+05
