sep=,
Size,Average operations
10,24.3
15,45.2
20,68.1
25,101.2
30,134.1
35,161.7
40,196.2
45,213.5
50,250.8
55,295.4
60,318.1
65,357.1
70,401.6
75,433.3
80,479.8
85,519.5
90,563
95,604.5
100,634.4
105,733.5
110,737.8
115,768.2
120,809.1
125,804.2
130,928.2
135,942.3
140,993.3
145,1014.5
150,1085.2
155,1153.2
160,1194.4
165,1238.1
170,1258.7
175,1307.1
180,1366.2
185,1405.5
190,1429.4
195,1527.5
200,1584.7
205,1675.4
210,1708.9
215,1758.8
220,1735
225,1843.2
230,1867.1
235,1955.6
240,1920.2
245,1935.3
250,2171.4
255,2089.9
260,2186.2
265,2228.1
270,2171
275,2365.1
280,2332.9
285,2470
290,2555.8
295,2548.8
300,2626.8
305,2545.2
310,2644.1
315,2730.6
320,2750
325,2906.2
330,3041.4
335,3001.2
340,3030.6
345,3040.3
350,3229.9
355,3174.2
360,3244
365,3359.5
370,3316.1
375,3287.3
380,3534
385,3481.6
390,3679.2
395,3587.8
400,3670.5
405,3629.6
410,3842.6
415,3736.6
420,3968.7
425,4053.4
430,4011.4
435,4039.7
440,4288.2
445,4066.5
450,4240.8
455,4222.3
460,4477.7
465,4451.4
470,4485.3
475,4560.7
480,4440.2
485,4495.1
490,4728.3
495,4896.1
500,4902.9
505,4648.8
510,5098.2
515,5042.9
520,5052.2
525,4939.4
530,5213.6
535,5151.9
540,5186.2
545,5363.2
550,5225.5
555,5421.8
560,5469.3
565,5560.1
570,5689.6
575,5717.7
580,5767.3
585,5679.7
590,5920.9
595,6175.2
600,6088
605,6115.8
610,6053
615,6038
620,6142.1
625,6259
630,6333.4
635,6374.2
640,6385.4
645,6447.2
650,6754
655,6582.3
660,6666.3
665,6911.2
670,6969.1
675,7173
680,6943.9
685,6928.7
690,7176.3
695,6868.3
700,7336.8
705,7358.7
710,7208.7
715,7330.6
720,7757.9
725,7267.3
730,7504.4
735,7616.9
740,7413.9
745,7945.1
750,7890
755,8077.3
760,8200.7
765,7807.7
770,8112.8
775,8020.4
780,8053.1
785,7935.2
790,8006.3
795,8451.7
800,8347.1
805,8673.3
810,8485.2
815,8853.3
820,8799.4
825,8548.3
830,8610.6
835,9000.3
840,8860.3
845,8747.5
850,9112.5
855,9153.3
860,9031.2
865,9242.3
870,9296.9
875,9266.3
880,9541.1
885,9487.7
890,9538.4
895,9417.8
900,9753.8
905,9708.7
910,9744.1
915,9995.6
920,10358
925,9605.7
930,10217
935,10064
940,9841.8
945,10566
950,9974
955,10455
960,10566
965,10398
970,10648
975,10662
980,11063
985,10837
990,11411
995,10773
1000,11010
1005,11134
1010,10780
1015,11310
1020,11106
1025,11411
1030,11324
1035,11520
1040,11564
1045,11747
1050,11351
1055,11641
1060,11703
1065,11967
1070,11612
1075,11775
1080,11759
1085,12000
1090,12261
1095,12507
1100,12000
1105,12211
1110,12592
1115,12550
1120,12736
1125,12948
1130,12647
1135,12539
1140,12708
1145,12818
1150,12903
1155,12868
1160,12882
1165,13052
1170,13153
1175,13157
1180,13322
1185,13250
1190,13271
1195,13379
1200,13489
1205,13866
1210,13804
1215,13787
1220,13804
1225,13844
1230,14344
1235,14190
1240,13783
1245,13643
1250,14468
1255,14256
1260,14289
1265,14453
1270,14417
1275,14599
1280,14369
1285,15008
1290,15208
1295,15566
1300,14659
1305,14673
1310,14456
1315,15293
1320,15117
1325,15355
1330,15320
1335,15082
1340,15215
1345,15837
1350,15889
1355,15895
1360,16278
1365,15877
1370,15944
1375,15656
1380,15833
1385,16143
1390,15739
1395,16078
1400,15894
1405,15884
1410,16141
1415,16192
1420,16845
1425,16965
1430,17132
1435,16585
1440,16491
1445,16844
1450,17601
1455,17298
1460,16932
1465,16948
1470,16898
1475,17579
1480,16825
1485,17839
1490,17105
1495,17763
1500,17274
1505,17304
1510,17897
1515,18135
1520,18034
1525,17674
1530,18274
1535,18700
1540,18062
1545,18445
1550,18564
1555,18675
1560,18474
1565,19264
1570,18599
1575,18938
1580,18711
1585,18890
1590,19044
1595,18875
1600,19147
1605,19730
1610,19228
1615,19435
1620,19656
1625,20004
1630,19405
1635,19662
1640,19520
1645,19279
1650,19574
1655,19746
1660,19076
1665,20370
1670,19922
1675,20620
1680,19787
1685,20564
1690,19897
1695,20523
1700,20159
1705,20685
1710,20554
1715,21013
1720,20674
1725,21147
1730,20637
1735,20652
1740,20550
1745,22570
1750,21134
1755,21039
1760,21869
1765,21472
1770,21529
1775,21162
1780,21197
1785,21379
1790,21940
1795,22383
1800,22512
1805,22041
1810,22016
1815,21840
1820,22428
1825,22145
1830,22316
1835,22109
1840,22575
1845,21841
1850,22564
1855,23084
1860,22404
1865,22941
1870,22874
1875,23449
1880,23084
1885,23014
1890,23385
1895,24053
1900,23242
1905,23009
1910,23720
1915,23244
1920,24552
1925,23408
1930,22869
1935,23672
1940,24601
1945,24411
1950,23952
1955,23618
1960,23076
1965,24088
1970,24558
1975,23732
1980,24504
1985,24903
1990,24346
1995,23995
2000,24789
2005,24864
2010,24822
2015,24716
2020,24946
2025,25789
2030,24798
2035,25158
2040,25892
2045,24983
2050,24774
2055,25161
2060,25222
2065,25866
2070,26073
2075,25881
2080,26033
2085,25539
2090,25480
2095,26400
2100,25531
2105,27050
2110,26792
2115,25929
2120,26069
2125,26330
2130,26421
2135,26447
2140,26183
2145,27732
2150,26603
2155,26867
2160,27442
2165,27110
2170,26896
2175,26334
2180,27365
2185,27844
2190,28037
2195,27469
2200,27518
2205,27510
2210,27900
2215,27930
2220,27926
2225,27479
2230,27952
2235,28176
2240,28104
2245,27849
2250,28483
2255,28281
2260,27750
2265,28923
2270,28762
2275,28425
2280,28361
2285,29589
2290,29053
2295,28606
2300,29069
2305,29455
2310,29378
2315,28991
2320,28912
2325,29246
2330,29018
2335,29625
2340,28697
2345,29556
2350,28995
2355,29727
2360,29278
2365,29863
2370,30873
2375,30031
2380,31224
2385,30944
2390,30389
2395,30157
2400,30428
2405,30690
2410,31584
2415,30109
2420,31425
2425,31010
2430,30666
2435,30617
2440,31294
2445,31038
